91,CARVER,8945345.376,0,8945345.376,7354564.81979
92,CARLISLE,5742607.728,0,5742607.728,4721380.67285
93,CHARLEMONT,3936766.944,8448.0,3945214.944,3236932.00891
94,CHELMSFORD,23470205.088,0,23470205.088,19296420.3614
95,ROWE,3488485.44,0,3488485.44,2868116.45755
96,CHARLTON,11658162.912,0,11658162.912,9584952.97968
97,CHESHIRE,4123719.6,0,4123719.6,3390384.81155
98,CHESTERFIELD,4775889.888,0,4775889.888,3926577.4855
99,CHELSEA,6876632.4,23232.0,6899864.4,5654434.92112
100,CHESTER,4686153.648,0,4686153.648,3852799.33988
101,CHICOPEE,22011548.592,17952.0,22029500.592,18097700.1674
102,CONCORD,12908367.648,0,12908367.648,10612829.6443
103,CLINTON,6141937.296,0,6141937.296,5049696.134
104,CHILMARK,1322697.024,0,1322697.024,1087477.40764
105,CLARKSBURG,1561685.664,0,1561685.664,1283965.90196
106,SOUTH HADLEY,10379078.688,0,10379078.688,8533332.56258
107,DALTON,4699535.808,0,4699535.808,3863801.70581
108,CUMMINGTON,4200496.08,0,4200496.08,3453507.87444
109,CONWAY,5375138.736,0,5375138.736,4419259.91537
110,DARTMOUTH,26704425.792,0,26704425.792,21955488.8277
111,DENNIS,16426112.208,0,16426112.208,13505001.9751
112,DEERFIELD,7336515.648,0,7336515.648,6031838.63972
113,DOUGLAS,7076109.216,0,7076109.216,5817741.15068
114,DOVER,7033982.208,0,7033982.208,5783105.72879
115,GREENFIELD,13722975.024,10454.4,13733429.424,11282886.31
116,DIGHTON,6490236.192,75156.576,6565392.768,5338310.57477
117,DUXBURY,10817408.448,0,10817408.448,8893712.68172
118,DUNSTABLE,3635741.472,0,3635741.472,2989185.45902
119,DUDLEY,9278092.032,0,9278092.032,7628138.0299
120,EAST BRIDGEWATER,7011847.92,0,7011847.92,5764907.65493
121,EAST LONGMEADOW,13607300.256,0,13607300.256,11187468.7392
122,EAST BROOKFIELD,2111724.384,0,2111724.384,1736189.40475
123,EDGARTOWN,4181446.368,0,4181446.368,3437845.83616
124,EASTON,15695025.456,0,15695025.456,12903926.8147
125,EASTHAM,5387469.12,0,5387469.12,4429397.54612
126,EASTHAMPTON,10818785.472,0,10818785.472,8894844.82496
127,FAIRHAVEN,10297252.944,0,10297252.944,8466058.16312
128,EVERETT,7620691.584,0,7620691.584,6265478.62271
129,EGREMONT,3331251.264,0,3331251.264,2738843.75866
130,ESSEX,2201154.384,0,2201154.384,1809715.77005
131,ERVING,1805060.4,0,1805060.4,1484060.49822
132,FALL RIVER,34970080.992,0,34970080.992,28751235.0388
133,FALMOUTH,23322568.896,64722.24,23387291.136,19176980.4723
134,FITCHBURG,24111248.304,0,24111248.304,19823464.7276
135,FRAMINGHAM,31268053.344,0,31268053.344,25707551.2952
136,FOXBOROUGH,11174640.048,0,11174640.048,9187416.59671
137,FLORIDA,3257031.36,0,3257031.36,2677822.62734
138,FRANKLIN,18693029.52,0,18693029.52,15368785.8327
139,FREETOWN,8879891.328,0,8879891.328,7300750.6831
140,GARDNER,13465553.376,0,13465553.376,11070929.1789
141,GLOUCESTER,10490871.6,0,10490871.6,8625244.96877
142,GOSNOLD,169532.88,0,169532.88,139384.283405
143,AQUINNAH,879230.88,0,879230.88,722874.324771
144,GEORGETOWN,6403846.944,0,6403846.944,5265029.51714
145,GILL,3486945.792,0,3486945.792,2866850.61028
146,GREAT BARRINGTON,7849140.816,11827.2,7860968.016,6453656.78305
147,GRAFTON,9675203.472,0,9675203.472,7954629.82015
148,GRANVILLE,5730674.4,0,5730674.4,4711569.4883
149,HALIFAX,6051957.12,0,6051957.12,4975717.43233
150,HAMILTON,5310474.576,0,5310474.576,4366095.19827
151,HADLEY,7241009.952,0,7241009.952,5953317.03967
152,GROVELAND,4346067.792,0,4346067.792,3573192.08414
153,GRANBY,6523773.696,0,6523773.696,5363629.29547
154,GOSHEN,2259860.064,0,2259860.064,1857981.62348
155,GROTON,10150455.744,0,10150455.744,8345366.39803
156,HANSON,7421369.472,0,7421369.472,6101602.62563
157,HARDWICK,7273451.328,0,7273451.328,5979989.25775
158,HARVARD,6653466.864,0,6653466.864,5470258.69553
159,HANOVER,11133845.712,0,11133845.712,9153876.85333
160,HATFIELD,4217986.08,0,4217986.08,3467887.5695
161,HAVERHILL,29838984.912,0,29838984.912,24532618.8613
162,HAWLEY,3562205.856,0,3562205.856,2928726.92648
163,HINGHAM,13699813.776,0,13699813.776,11263530.2718
164,HEATH,4168065.792,0,4168065.792,3426844.77255
165,HINSDALE,3210030.912,0,3210030.912,2639180.42552
166,HOLYOKE,20235512.88,16042.752,20251555.632,16637445.5229
167,HOLDEN,12578498.592,0,12578498.592,10341622.301
168,HUBBARDSTON,8000419.68,0,8000419.68,6577678.40691
169,HUDSON,11991894.816,0,11991894.816,9859336.22786
170,HULL,6621194.976,0,6621194.976,5443725.82484
171,HOLLAND,3206373.456,0,3206373.456,2636173.3871
172,HOPKINTON,11810301.36,0,11810301.36,9710036.14085
173,HOPEDALE,3867159.648,0,3867159.648,3179449.77015
174,LAKEVILLE,7868798.784,0,7868798.784,6469464.09314
175,KINGSTON,8115866.88,0,8115866.88,6672595.24689
176,HUNTINGTON,3764956.8,0,3764956.8,3095421.99495
177,IPSWICH,8859919.728,0,8859919.728,7284330.69924
178,MARLBOROUGH,18327101.232,0,18327101.232,15067931.7907
179,STOW,6076815.36,0,6076815.36,4996155.04874
180,LENOX,4992479.184,142540.992,5135020.176,4108926.21551
181,LANCASTER,6839636.496,0,6839636.496,5623321.16193
182,LANESBOROUGH,4153300.8,100389.696,4253690.496,3417717.17912
183,LEICESTER,8330356.848,0,8330356.848,6848941.74963
184,LEOMINSTER,22259267.184,1584.0,22260851.184,18300875.0973
185,LEE,5720955.504,0,5720955.504,4703578.93594
186,LEXINGTON,17213784.192,0,17213784.192,14152599.6272
187,PAXTON,4183015.584,0,4183015.584,3439135.99326
188,LEVERETT,3280110.768,0,3280110.768,2696797.74736
189,LITTLETON,7565129.088,0,7565129.088,6219796.9904
190,LINCOLN,5705270.208,0,5705270.208,4690683.00836
191,LEYDEN,2577615.744,0,2577615.744,2119229.75278
192,LYNN,24167602.272,0,24167602.272,19869797.0819
193,LUNENBURG,9206474.64,0,9206474.64,7569256.59721
194,LUDLOW,16747823.664,0,16747823.664,13769502.4116
195,LYNNFIELD,9465292.848,0,9465292.848,7782048.30141
196,MALDEN,13934672.928,19873.92,13954546.848,11457219.8564
197,MANSFIELD,15680283.168,28607.04,15708890.208,12892664.4081
198,MARBLEHEAD,9621766.176,0,9621766.176,7910695.45644
199,MANCHESTER,2812549.872,0,2812549.872,2312384.76247
200,MASHPEE,11550536.448,0,11550536.448,9496466.08817
201,MARSHFIELD,16141927.824,0,16141927.824,13271355.0464
202,MEDFORD,14231230.464,0,14231230.464,11700443.3606
203,MAYNARD,4501856.304,0,4501856.304,3701276.20628
204,MEDFIELD,9410444.736,0,9410444.736,7736954.01182
205,MATTAPOISETT,4516862.592,0,4516862.592,3713613.87611
206,SANDISFIELD,6093878.736,0,6093878.736,5010183.98776
207,MELROSE,9216231.024,0,9216231.024,7577277.97095
208,METHUEN,22260435.648,0,22260435.648,18301788.2495
209,MENDON,6344574.72,0,6344574.72,5216297.87011
210,MERRIMAC,4221773.952,0,4221773.952,3471001.83161
211,NEW BEDFORD,40987501.632,13939.2,41001440.832,33698975.9044
212,MONTAGUE,12441224.928,0,12441224.928,10228760.4698
213,NATICK,16749366.48,0,16749366.48,13770770.8635
214,NEEDHAM,15948309.168,0,15948309.168,13112168.2408
215,MONSON,9809945.904,0,9809945.904,8065410.55677
216,MILTON,13560406.992,0,13560406.992,11148914.6605
217,MONROE,1530204.192,0,1530204.192,1258082.88496
218,NEW BRAINTREE,4792078.896,0,4792078.896,3939887.5483
219,NEW MARLBOROUGH,6978419.184,0,6978419.184,5737423.66237
220,MONTGOMERY,2799589.056,0,2799589.056,2301728.81154
221,MONTEREY,3841326.192,0,3841326.192,3158210.36366
222,NEWTON,39080007.648,402014.976,39482022.624,32142340.2008
223,NANTUCKET,10093578.528,76538.88,10170117.408,8300900.01315
224,NEWBURYPORT,8756873.664,0,8756873.664,7199609.65994
225,NAHANT,2011248.096,0,2011248.096,1653581.14963
226,NEW SALEM,3099001.488,0,3099001.488,2547895.73371
227,NEWBURY,5730805.872,0,5730805.872,4711677.5802
228,MOUNT WASHINGTON,1517149.92,0,1517149.92,1247350.09762
229,MIDDLETON,5517120.576,4752.0,5521872.576,4536135.21196
230,MILFORD,15129523.2,0,15129523.2,12438989.708
231,OAK BLUFFS,3430392.768,0,3430392.768,2820354.59886
232,ORANGE,8825266.56,0,8825266.56,7255840.0195
233,MIDDLEBOROUGH,16666306.272,0,16666306.272,13702481.5289
234,MIDDLEFIELD,3351469.44,0,3351469.44,2755466.46909
235,NORWOOD,15993430.992,0,15993430.992,13149265.9006
236,MILLBURY,8055279.408,0,8055279.408,6622782.24679
237,MILLIS,5845414.608,0,5845414.608,4805905.06303
238,MILLVILLE,2017325.376,0,2017325.376,1658577.68669
239,OXFORD,9738602.544,0,9738602.544,8006754.42405
240,OTIS,3438333.36,0,3438333.36,2826883.08894
241,WARE,8417011.68,0,8417011.68,6920186.4643
242,PALMER,11106819.504,0,11106819.504,9131656.80589
243,NEW ASHFORD,837568.512,17740.8,855309.312,689153.138408
244,PEABODY,25435447.488,96318.816,25531766.304,20915066.7256
245,NORTHAMPTON,17782946.016,9820.8,17792766.816,14620840.1328
246,NORTHBRIDGE,10308482.448,17925.6,10326408.048,8475828.45503
247,NORTHFIELD,5806133.52,0,5806133.52,4773609.46171
248,SHREWSBURY,20181439.872,0,20181439.872,16592507.2154
249,PEPPERELL,8718001.248,0,8718001.248,7167650.05512
250,PETERSHAM,5005421.52,0,5005421.52,4115290.74304
251,NORTH READING,10574007.84,0,10574007.84,8693596.81437
252,PHILLIPSTON,4034225.184,0,4034225.184,3316805.48556
253,PEMBROKE,10569608.016,0,10569608.016,8689979.42572
254,PITTSFIELD,26241208.224,328030.56,26569238.784,21584487.6991
255,WESTBOROUGH,11835120.0,0,11835120.0,9730441.19945
256,PELHAM,2108986.176,0,2108986.176,1733938.1414
257,NORTH ADAMS,8313701.616,99304.128,8413005.744,6838227.49684
258,REHOBOTH,14227982.736,0,14227982.736,11697773.1869
259,NORFOLK,8204401.92,0,8204401.92,6745385.80591
