,city_name,city_status,overall_city_health_score,city_status_current_funding,city_expected_funding,airport_asset_status,airport_score,building_asset_status,building_score,road_asset_status,road_score,sewage_asset_status,sewage_score,city_roads_actual_annual_spending,city_roads_cost_differential,city_roads_expected_annual_cost,city_total_sq_footage_asphalt_streets,city_total_sq_footage_concrete_streets,city_total_sq_footage_streets,city_population,city_median_household_income,city_cafr_link,city_budget_link
66,Bellingham,,,,,,,,,,,,,,,2795531.64,11182126.56,0,11182126.56,,,,
67,Belmont,,,,,,,,,,,,,,,2600438.28,10401753.12,0,10401753.12,,,,
68,Berlin,,,,,,,,,,,,,,,1163299.104,4653196.416,0,4653196.416,,,,
69,Bernardston,,,,,,,,,,,,,,,811734.66,3246938.64,0,3246938.64,,,,
70,Beverly,,,,,,,,,,,,,,,4322884.896,17291539.58,0,17291539.58,,,,
71,Billerica,,,,,,,,,,,,,,,6002671.356,24010685.42,0,24010685.42,,,,
72,Berkley,,,,,,,,,,,,,,,1489821.168,5959284.672,0,5959284.672,,,,
73,Bolton,,,,,,,,,,,,,,,1544483.82,6177935.28,0,6177935.28,,,,
74,Boston,,,,,,,,,,,,,,,30658037.15,122569800.1,519570.48,123089370.6,,,,
75,Blackstone,,,,,,,,,,,,,,,1183311.888,4733247.552,0,4733247.552,,,,
76,Blandford,,,,,,,,,,,,,,,1361842.416,5447369.664,0,5447369.664,,,,
77,Tewksbury,,,,,,,,,,,,,,,3984558.922,15937683.7,4599.936,15942283.63,,,,
78,Bourne,,,,,,,,,,,,,,,2768823.948,11075295.79,0,11075295.79,,,,
79,Brookline,,,,,,,,,,,,,,,3564940.025,14251588.56,68096.16,14319684.72,,,,
80,Boxborough,,,,,,,,,,,,,,,936752.388,3747009.552,0,3747009.552,,,,
81,Boxford,,,,,,,,,,,,,,,2453863.104,9815452.416,0,9815452.416,,,,
82,Boylston,,,,,,,,,,,,,,,1042451.652,4169806.608,0,4169806.608,,,,
83,Braintree,,,,,,,,,,,,,,,3733601.256,14934405.02,0,14934405.02,,,,
84,Brewster,,,,,,,,,,,,,,,1464412.62,5857650.48,0,5857650.48,,,,
85,Brockton,,,,,,,,,,,,,,,9003738.638,36011757.41,26642.88,36038400.29,,,,
86,Brimfield,,,,,,,,,,,,,,,1431581.448,5726325.792,0,5726325.792,,,,
87,Brookfield,,,,,,,,,,,,,,,879349.68,3517398.72,0,3517398.72,,,,
88,Cambridge,,,,,,,,,,,,,,,4598055.396,18392221.58,0,18392221.58,,,,
89,Somerville,,,,,,,,,,,,,,,3474323.292,13897293.17,0,13897293.17,,,,
90,Burlington,,,,,,,,,,,,,,,3584247.348,14336989.39,0,14336989.39,,,,
91,Carver,,,,,,,,,,,,,,,2236336.344,8945345.376,0,8945345.376,,,,
92,Carlisle,,,,,,,,,,,,,,,1435651.932,5742607.728,0,5742607.728,,,,
93,Charlemont,,,,,,,,,,,,,,,984445.176,3936766.944,8448,3945214.944,,,,
94,Chelmsford,,,,,,,,,,,,,,,5867551.272,23470205.09,0,23470205.09,,,,
95,Rowe,,,,,,,,,,,,,,,872121.36,3488485.44,0,3488485.44,,,,
96,Charlton,,,,,,,,,,,,,,,2914540.728,11658162.91,0,11658162.91,,,,
97,Cheshire,,,,,,,,,,,,,,,1030929.9,4123719.6,0,4123719.6,,,,
98,Chesterfield,,,,,,,,,,,,,,,1193972.472,4775889.888,0,4775889.888,,,,
99,Chelsea,,,,,,,,,,,,,,,1719855.06,6876632.4,23232,6899864.4,,,,
100,Chester,,,,,,,,,,,,,,,1171538.412,4686153.648,0,4686153.648,,,,
101,Chicopee,,,,,,,,,,,,,,,5503425.708,22011548.59,17952,22029500.59,,,,
102,Concord,,,,,,,,,,,,,,,3227091.912,12908367.65,0,12908367.65,,,,
103,Clinton,,,,,,,,,,,,,,,1535484.324,6141937.296,0,6141937.296,,,,
104,Chilmark,,,,,,,,,,,,,,,330674.256,1322697.024,0,1322697.024,,,,
105,Clarksburg,,,,,,,,,,,,,,,390421.416,1561685.664,0,1561685.664,,,,
106,South Hadley,,,,,,,,,,,,,,,2594769.672,10379078.69,0,10379078.69,,,,
107,Dalton,,,,,,,,,,,,,,,1174883.952,4699535.808,0,4699535.808,,,,
108,Cummington,,,,,,,,,,,,,,,1050124.02,4200496.08,0,4200496.08,,,,
109,Conway,,,,,,,,,,,,,,,1343784.684,5375138.736,0,5375138.736,,,,
110,Dartmouth,,,,,,,,,,,,,,,6676106.448,26704425.79,0,26704425.79,,,,
111,Dennis,,,,,,,,,,,,,,,4106528.052,16426112.21,0,16426112.21,,,,
112,Deerfield,,,,,,,,,,,,,,,1834128.912,7336515.648,0,7336515.648,,,,
113,Douglas,,,,,,,,,,,,,,,1769027.304,7076109.216,0,7076109.216,,,,
114,Dover,,,,,,,,,,,,,,,1758495.552,7033982.208,0,7033982.208,,,,
115,Greenfield,,,,,,,,,,,,,,,3431057.388,13722975.02,10454.4,13733429.42,,,,
116,Dighton,,,,,,,,,,,,,,,1624813.745,6490236.192,75156.576,6565392.768,,,,
117,Duxbury,,,,,,,,,,,,,,,2704352.112,10817408.45,0,10817408.45,,,,
118,Dunstable,,,,,,,,,,,,,,,908935.368,3635741.472,0,3635741.472,,,,
119,Dudley,,,,,,,,,,,,,,,2319523.008,9278092.032,0,9278092.032,,,,
120,East Bridgewater,,,,,,,,,,,,,,,1752961.98,7011847.92,0,7011847.92,,,,
121,East Longmeadow,,,,,,,,,,,,,,,3401825.064,13607300.26,0,13607300.26,,,,
122,East Brookfield,,,,,,,,,,,,,,,527931.096,2111724.384,0,2111724.384,,,,
123,Edgartown,,,,,,,,,,,,,,,1045361.592,4181446.368,0,4181446.368,,,,
124,Easton,,,,,,,,,,,,,,,3923756.364,15695025.46,0,15695025.46,,,,
125,Eastham,,,,,,,,,,,,,,,1346867.28,5387469.12,0,5387469.12,,,,
126,Easthampton,,,,,,,,,,,,,,,2704696.368,10818785.47,0,10818785.47,,,,
127,Fairhaven,,,,,,,,,,,,,,,2574313.236,10297252.94,0,10297252.94,,,,
128,Everett,,,,,,,,,,,,,,,1905172.896,7620691.584,0,7620691.584,,,,
129,Egremont,,,,,,,,,,,,,,,832812.816,3331251.264,0,3331251.264,,,,
130,Essex,,,,,,,,,,,,,,,550288.596,2201154.384,0,2201154.384,,,,
131,Erving,,,,,,,,,,,,,,,451265.1,1805060.4,0,1805060.4,,,,
132,Fall River,,,,,,,,,,,,,,,8742520.248,34970080.99,0,34970080.99,,,,
133,Falmouth,,,,,,,,,,,,,,,5832583.891,23322568.9,64722.24,23387291.14,,,,
134,Fitchburg,,,,,,,,,,,,,,,6027812.076,24111248.3,0,24111248.3,,,,
135,Framingham,,,,,,,,,,,,,,,7817013.336,31268053.34,0,31268053.34,,,,
136,Foxborough,,,,,,,,,,,,,,,2793660.012,11174640.05,0,11174640.05,,,,
137,Florida,,,,,,,,,,,,,,,814257.84,3257031.36,0,3257031.36,,,,
138,Franklin,,,,,,,,,,,,,,,4673257.38,18693029.52,0,18693029.52,,,,
139,Freetown,,,,,,,,,,,,,,,2219972.832,8879891.328,0,8879891.328,,,,
140,Gardner,,,,,,,,,,,,,,,3366388.344,13465553.38,0,13465553.38,,,,
141,Gloucester,,,,,,,,,,,,,,,2622717.9,10490871.6,0,10490871.6,,,,
142,Gosnold,,,,,,,,,,,,,,,42383.22,169532.88,0,169532.88,,,,
143,Aquinnah,,,,,,,,,,,,,,,219807.72,879230.88,0,879230.88,,,,
144,Georgetown,,,,,,,,,,,,,,,1600961.736,6403846.944,0,6403846.944,,,,
145,Gill,,,,,,,,,,,,,,,871736.448,3486945.792,0,3486945.792,,,,
146,Great Barrington,,,,,,,,,,,,,,,1962640.02,7849140.816,11827.2,7860968.016,,,,
147,Grafton,,,,,,,,,,,,,,,2418800.868,9675203.472,0,9675203.472,,,,
