,city_name,city_status,overall_city_health_score,city_status_current_funding,city_expected_funding,airport_asset_status,airport_score,building_asset_status,building_score,road_asset_status,road_score,sewage_asset_status,sewage_score,city_roads_actual_annual_spending,city_roads_cost_differential,city_roads_expected_annual_cost,city_total_sq_footage_asphalt_streets,city_total_sq_footage_concrete_streets,city_total_sq_footage_streets,city_population,city_median_household_income,city_cafr_link,city_budget_link
40,Westport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,033,740.74","16,133,011.49","16,262.40","16,149,273.89",0,0,0,0
41,Westfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,782,306.73","23,127,148.70","17,318.40","23,144,467.10",0,0,0,0
42,West Tisbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"357,971.06","1,431,884.26",0.00,"1,431,884.26",0,0,0,0
43,Acton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,298,941.62","13,195,766.50",0.00,"13,195,766.50",0,0,0,0
44,Acushnet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,821,504.56","7,286,018.26",0.00,"7,286,018.26",0,0,0,0
45,Agawam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,036,422.85","16,145,691.41",0.00,"16,145,691.41",0,0,0,0
46,Amesbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,695,330.25","6,781,321.01",0.00,"6,781,321.01",0,0,0,0
47,Amherst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,088,058.29","12,352,233.17",0.00,"12,352,233.17",0,0,0,0
48,Alford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"411,920.92","1,647,683.66",0.00,"1,647,683.66",0,0,0,0
49,Andover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,494,330.17","25,972,058.11","43,854.62","26,015,912.74",0,0,0,0
50,Ashburnham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,772,407.03","7,089,628.13",0.00,"7,089,628.13",0,0,0,0
51,Arlington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,618,500.82","14,474,003.28",0.00,"14,474,003.28",0,0,0,0
52,Attleboro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,089,614.87","24,358,459.49",0.00,"24,358,459.49",0,0,0,0
53,North Andover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,533,891.99","14,135,567.95",0.00,"14,135,567.95",0,0,0,0
54,Ashby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,198,839.05","4,795,356.19",0.00,"4,795,356.19",0,0,0,0
55,Ashfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,540,779.24","6,163,116.96",0.00,"6,163,116.96",0,0,0,0
56,Ashland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,423,130.73","9,692,522.93",0.00,"9,692,522.93",0,0,0,0
57,Athol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,482,423.02","9,929,692.08",0.00,"9,929,692.08",0,0,0,0
58,Auburn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,904,760.32","11,619,041.28",0.00,"11,619,041.28",0,0,0,0
59,Avon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"749,224.08","2,996,896.32",0.00,"2,996,896.32",0,0,0,0
60,Ayer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,118,044.09","4,472,176.37",0.00,"4,472,176.37",0,0,0,0
61,Barnstable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,332,388.12","37,329,552.48",0.00,"37,329,552.48",0,0,0,0
62,Barre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,066,385.16","8,265,540.62",0.00,"8,265,540.62",0,0,0,0
63,Belchertown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,299,323.24","13,197,292.94",0.00,"13,197,292.94",0,0,0,0
64,Bedford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,267,099.08","9,068,396.30",0.00,"9,068,396.30",0,0,0,0
65,Becket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,204,582.37","4,818,329.47",0.00,"4,818,329.47",0,0,0,0
66,Bellingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,795,531.64","11,182,126.56",0.00,"11,182,126.56",0,0,0,0
67,Belmont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,600,438.28","10,401,753.12",0.00,"10,401,753.12",0,0,0,0
68,Berlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,163,299.10","4,653,196.42",0.00,"4,653,196.42",0,0,0,0
69,Bernardston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"811,734.66","3,246,938.64",0.00,"3,246,938.64",0,0,0,0
70,Beverly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,322,884.90","17,291,539.58",0.00,"17,291,539.58",0,0,0,0
71,Billerica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,002,671.36","24,010,685.42",0.00,"24,010,685.42",0,0,0,0
72,Berkley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,489,821.17","5,959,284.67",0.00,"5,959,284.67",0,0,0,0
73,Bolton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,544,483.82","6,177,935.28",0.00,"6,177,935.28",0,0,0,0
74,Boston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30,658,037.15","122,569,800.10","519,570.48","123,089,370.60",0,0,0,0
75,Blackstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,183,311.89","4,733,247.55",0.00,"4,733,247.55",0,0,0,0
76,Blandford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,361,842.42","5,447,369.66",0.00,"5,447,369.66",0,0,0,0
77,Tewksbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,984,558.92","15,937,683.70","4,599.94","15,942,283.63",0,0,0,0
