index,city_name,city_status,city_health_score,city_expected_funding,city_status_current_funding,road_asset_status,road_score,sewage_asset_status,sewage_score,airport_asset_status,airport_score,building_asset_status,building_score,city_total_sq_footage_streets,city_total_sq_footage_concrete_streets,city_total_sq_footage_asphalt_streets,city_roads_expected_annual_cost,city_roads_actual_annual_spending,city_roads_cost_differential,city_population, city_median_household_income ,city_cafr_link,city_budget_link
0,Springfield,,,,,,,,,,,,,,,,,,,154074," $35,742 ",https://www.springfield-ma.gov/finance/fileadmin/comptroller/Comprehensive_Annual_Financial_Report/Springfield_FY2017_CAFR.pdf,https://www.springfield-ma.gov/finance/fileadmin/budget/2017/Final_FY17_Adopted_6.30.16.pdf
1,Wellesley,,,,,,,,,,,,,,,,,,,28909," $171,719 ",https://www.wellesleyma.gov/DocumentCenter/View/8797/FY17-CAFR,https://www.wellesleyma.gov/599/FY18-Operating-Capital-Budgets
2,Pittsfield,,,,,,,,,,,,,,,,,,,43632," $45,206 ",http://www.cityofpittsfield.org/city_hall/accounting/index.php,http://www.cityofpittsfield.org/city_hall/fy2017_city_budget.php
3,Salem,,,,,,,,,,,,,,,,,,,42804," $61,093 ",https://www.salem.com/sites/salemma/files/uploads/salem_fy2015_cafr.pdf,https://www.salem.com/sites/salemma/files/uploads/fy18-proposed_budget_0.pdf
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
