,city_name,city_status,overall_city_health_score,city_status_current_funding,city_expected_funding,airport_asset_status,airport_score,building_asset_status,building_score,road_asset_status,road_score,sewage_asset_status,sewage_score,city_roads_actual_annual_spending,city_roads_cost_differential, city_roads_expected_annual_cost ,city_total_sq_footage_asphalt_streets,city_total_sq_footage_concrete_streets,city_total_sq_footage_streets,city_population,city_median_household_income,city_cafr_link,city_budget_link
61,BARNSTABLE,,,,,,,,,,,,,,,30691113.86,37329552.48,0,37329552.48,,,,
62,BARRE,,,,,,,,,,,,,,,6795652.011,8265540.624,0,8265540.624,,,,
63,BELCHERTOWN,,,,,,,,,,,,,,,10850374.39,13197292.94,0,13197292.94,,,,
64,BEDFORD,,,,,,,,,,,,,,,7455733.192,9068396.304,0,9068396.304,,,,
65,BECKET,,,,,,,,,,,,,,,3961469.897,4818329.472,0,4818329.472,,,,
66,BELLINGHAM,,,,,,,,,,,,,,,9193571.757,11182126.56,0,11182126.56,,,,
67,BELMONT,,,,,,,,,,,,,,,8551974.725,10401753.12,0,10401753.12,,,,
68,BERLIN,,,,,,,,,,,,,,,3825703.002,4653196.416,0,4653196.416,,,,
69,BERNARDSTON,,,,,,,,,,,,,,,2669524.729,3246938.64,0,3246938.64,,,,
70,BEVERLY,,,,,,,,,,,,,,,14216527.52,17291539.58,0,17291539.58,,,,
71,BILLERICA,,,,,,,,,,,,,,,19740785.28,24010685.42,0,24010685.42,,,,
72,BERKLEY,,,,,,,,,,,,,,,4899525.234,5959284.672,0,5959284.672,,,,
73,BOLTON,,,,,,,,,,,,,,,5079292.477,6177935.28,0,6177935.28,,,,
74,BOSTON,,,,,,,,,,,,,,,100788391.5,122569800.1,519570.48,123089370.6,,,,
75,BLACKSTONE,,,,,,,,,,,,,,,3891518.378,4733247.552,0,4733247.552,,,,
76,BLANDFORD,,,,,,,,,,,,,,,4478645.777,5447369.664,0,5447369.664,,,,
77,TEWKSBURY,,,,,,,,,,,,,,,13103570.33,15937683.7,4599.936,15942283.63,,,,
78,BOURNE,,,,,,,,,,,,,,,9105739.061,11075295.79,0,11075295.79,,,,
79,BROOKLINE,,,,,,,,,,,,,,,11719223.99,14251588.56,68096.16,14319684.72,,,,
